City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Ambelokipoi,GR,37.7667,20.8667,48.25,72,36,10.85,scattered clouds
250,Nanortalik,GL,60.1432,-45.2371,19.36,64,0,8.59,clear sky
251,Tucuman,AR,-26.8241,-65.2226,84.2,54,20,21.85,dust
252,Skjervoy,NO,70.0311,20.9714,10.4,92,100,8.88,snow
253,Yantal,RU,56.8471,105.2542,-6.14,99,100,1.19,overcast clouds
254,Namibe,AO,-15.1961,12.1522,69.62,79,45,5.53,scattered clouds
255,Richards Bay,ZA,-28.783,32.0377,73.0,75,4,14.47,clear sky
256,Dawlatabad,AF,36.4141,64.9053,36.3,74,7,3.4,clear sky
257,Hualmay,PE,-11.0964,-77.6139,73.94,74,23,11.99,few clouds
258,Arlit,NE,18.7369,7.3853,63.34,29,100,10.63,overcast clouds
259,Acapulco,MX,16.8634,-99.8901,84.02,65,20,10.36,few clouds
260,Huarmey,PE,-10.0681,-78.1522,74.98,72,9,13.91,clear sky
261,Namie,JP,37.4833,141.0,36.99,46,43,1.01,scattered clouds
262,Alamogordo,US,32.8995,-105.9603,46.71,29,40,6.91,scattered clouds
263,Villa Bruzual,VE,9.3328,-69.1208,92.34,23,0,5.1,clear sky
264,Yilan,TW,24.757,121.753,54.01,81,44,5.46,scattered clouds
265,Ostrovnoy,RU,68.0531,39.5131,20.48,91,100,15.03,overcast clouds
266,Antofagasta,CL,-23.65,-70.4,70.88,68,4,10.11,clear sky
267,Nome,US,64.5011,-165.4064,21.27,53,0,16.11,clear sky
268,Doha,QA,25.2867,51.5333,75.09,64,0,18.41,clear sky
269,Okhotsk,RU,59.3833,143.3,9.91,70,100,14.9,overcast clouds
270,Poum,NC,-20.2333,164.0167,80.91,78,22,12.91,few clouds
271,Valera,VE,9.3178,-70.6036,84.18,49,14,4.18,few clouds
272,Lobito,AO,-12.3481,13.5456,75.52,78,99,4.94,overcast clouds
273,Noumea,NC,-22.2763,166.4572,80.01,99,100,2.46,overcast clouds
274,Kaeo,NZ,-35.1,173.7833,65.32,93,100,3.11,overcast clouds
275,Sayville,US,40.7359,-73.0821,43.03,82,100,29.93,moderate rain
276,Bandarbeyla,SO,9.4942,50.8122,77.29,77,99,13.85,overcast clouds
277,Rawson,AR,-43.3002,-65.1023,66.47,34,0,18.25,clear sky
278,Xining,CN,36.6167,101.7667,21.13,29,1,1.45,clear sky
279,Tomatlan,MX,19.9333,-105.25,87.39,36,100,9.37,overcast clouds
280,Bardiyah,LY,31.7561,25.0865,60.71,62,100,7.85,overcast clouds
281,Belmonte,BR,-15.8631,-38.8828,74.79,92,100,7.29,overcast clouds
282,Cooma,AU,-36.2333,149.1333,55.96,77,19,2.93,few clouds
283,Victoria,HK,22.2855,114.1577,61.32,62,5,4.0,clear sky
284,Bud,US,39.447,-86.1758,-0.09,82,100,22.88,overcast clouds
285,Bermejo,AR,-32.8833,-68.8,75.11,33,75,10.36,broken clouds
286,Umm Lajj,SA,25.0213,37.2685,71.89,47,92,13.53,overcast clouds
287,Saint George,US,37.1041,-113.5841,52.95,42,0,3.0,clear sky
288,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,52,0,8.99,clear sky
289,Tutoia,BR,-2.7619,-42.2744,73.49,94,100,5.1,overcast clouds
290,Mecca,SA,21.4267,39.8261,64.74,60,0,8.39,clear sky
291,Trairi,BR,-3.2778,-39.2689,81.14,69,100,7.87,overcast clouds
292,Lebu,CL,-37.6167,-73.65,59.83,62,0,25.12,clear sky
293,San Quintin,MX,30.4833,-115.95,65.86,52,0,9.48,clear sky
294,Abu Dhabi,AE,24.4667,54.3667,71.71,68,0,4.61,clear sky
295,Zhigansk,RU,66.7697,123.3711,-19.16,92,100,3.8,overcast clouds
296,Panaba,MX,21.2833,-88.2667,79.03,71,99,10.85,moderate rain
297,Ushtobe,KZ,45.2514,77.9838,3.47,90,15,6.51,few clouds
298,Itarema,BR,-2.9248,-39.9167,79.43,75,100,3.33,overcast clouds
299,Ankazoabo,MG,-22.2833,44.5167,69.91,68,0,9.37,clear sky
300,La Presa,US,32.7081,-116.9973,76.26,51,0,5.75,clear sky
301,Erdenet,MN,49.0333,104.0833,2.3,98,100,2.44,overcast clouds
302,Padang,ID,-0.9492,100.3543,77.4,76,100,3.53,overcast clouds
303,Samarai,PG,-10.6167,150.6667,83.19,79,18,14.58,few clouds
304,Nampula,MZ,-15.1165,39.2666,69.75,94,75,3.44,light intensity drizzle
305,Paamiut,GL,61.994,-49.6678,11.23,59,0,7.25,clear sky
306,Oranjemund,NA,-28.55,16.4333,65.26,91,74,10.56,broken clouds
307,Awash,ET,8.9833,40.1667,75.45,51,11,3.22,few clouds
308,San Cristobal,VE,7.7669,-72.225,86.18,36,6,6.24,clear sky
309,Vinh,VN,18.6667,105.6667,62.53,84,77,7.11,broken clouds
310,Ullapool,GB,57.8987,-5.1604,39.13,84,100,17.31,overcast clouds
311,Ilulissat,GL,69.2167,-51.1,-12.64,73,13,5.68,few clouds
312,Saint Anthony,US,45.0205,-93.218,0.05,73,100,31.07,overcast clouds
313,Mitu,CO,1.1983,-70.1733,82.18,71,100,2.08,overcast clouds
314,Saint-Leu,RE,-21.15,55.2833,79.66,80,80,8.84,broken clouds
315,Moose Factory,CA,51.2585,-80.6094,24.8,86,100,18.41,light snow
316,Geraldton,AU,-28.7667,114.6,64.81,68,2,3.44,clear sky
317,Liverpool,GB,53.4106,-2.9779,49.42,92,20,9.22,few clouds
318,Ust-Ilimsk,RU,58.0006,102.6619,-8.61,100,97,4.07,overcast clouds
319,Sur,OM,22.5667,59.5289,70.56,62,69,2.01,broken clouds
320,Cap Malheureux,MU,-19.9842,57.6142,78.48,69,6,1.99,clear sky
321,Chemin Grenier,MU,-20.4872,57.4656,76.59,76,12,7.2,few clouds
322,Jacareacanga,BR,-6.2222,-57.7528,84.63,69,66,2.95,broken clouds
323,Codrington,AU,-38.2667,141.9667,53.26,89,85,5.95,overcast clouds
324,Novoagansk,RU,61.9449,76.6625,9.16,94,100,10.42,light snow
325,Ibate,BR,-21.9547,-47.9967,68.99,77,86,3.91,heavy intensity rain
326,Balad,IQ,34.0164,44.1453,55.71,85,100,8.88,moderate rain
327,Caravelas,BR,-17.7125,-39.2481,72.25,97,100,5.26,light rain
328,Rognedino,RU,53.8015,33.5576,33.75,100,100,10.2,overcast clouds
329,Gunjur,GM,13.2019,-16.7339,78.87,44,0,3.44,clear sky
330,Tual,ID,-5.6667,132.75,83.44,70,91,4.03,overcast clouds
331,Lucapa,AO,-8.4192,20.7447,64.47,97,99,3.76,light rain
332,Ingham,US,42.6,-84.3833,7.83,82,100,16.11,haze
333,Vanimo,PG,-2.6741,141.3028,77.18,90,90,5.79,overcast clouds
334,Great Falls,US,47.5002,-111.3008,9.68,77,100,5.75,mist
335,Vuktyl,RU,63.8567,57.3094,29.25,96,99,8.7,light snow
336,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,79,100,18.41,overcast clouds
337,Bethel,US,41.3712,-73.414,41.31,67,100,18.41,moderate rain
338,Mount Gambier,AU,-37.8333,140.7667,52.52,89,99,2.82,overcast clouds
339,Maningrida,AU,-12.0667,134.2667,81.18,80,100,10.22,overcast clouds
340,Kungsbacka,SE,57.4872,12.0761,29.05,78,5,3.78,clear sky
341,Chekmagush,RU,55.1319,54.6556,32.63,97,100,14.41,light snow
342,Ketchikan,US,55.3422,-131.6461,27.07,80,100,3.44,light snow
343,Fiche,ET,9.8,38.7333,56.82,56,94,1.48,overcast clouds
344,Pirganj,BD,25.8523,88.3618,61.47,52,0,3.42,clear sky
345,Chongoyape,PE,-6.6406,-79.3892,83.91,57,83,9.01,light rain
